Attributes,HeLa.S3.WT.00_h.R1,HeLa.S3.WT.00_h.R2,HeLa.S3.WT.00_h.R3,HeLa.S3.WT.02_h.R1,HeLa.S3.WT.02_h.R2,HeLa.S3.WT.02_h.R3,HeLa.S3.WT.04_h.R1,HeLa.S3.WT.04_h.R2,HeLa.S3.WT.04_h.R3,HeLa.S3.WT.08_h.R1,HeLa.S3.WT.08_h.R2,HeLa.S3.WT.08_h.R3,HeLa.S3.WT.16_h.R1,HeLa.S3.WT.16_h.R2,HeLa.S3.WT.16_h.R3,HeLa.S3.WT.24_h.R1,HeLa.S3.WT.24_h.R2,HeLa.S3.WT.24_h.R3
E1W7I6,9,11,9.5,1.5,2,0,1,3.5,1,0.5,4,2,4,4.5,5,17,25,35.5
E1W7I7,9,8,7,0,1,0,0.5,1.5,0,0,1,1,3,3.5,2.5,10,16,22
E1W7I8,0.5,0.5,0.5,0,0,0,0,1,0,0,0,0.5,0.5,0,0.5,3,3.5,7.5
E1W7I9,13,15.5,16,1.5,1.5,0,2,7.5,1,1,9.5,1,12,13.5,7.5,56,84.5,54.5
E1W7J0,8.5,21,7.5,1,2,1.5,3,2.5,1,1.5,4,3.5,7.5,14,14,55.5,52,78.5
E1W7J1,6.5,14,5.5,1,2.5,1.5,6,7.5,1.5,2.5,5.5,1,32.5,43,61.5,320.5,411.5,506.5
E1W7J2,20,19.5,28.5,1,1.5,0.5,8,7,3.5,6,17,4.5,24.5,19.5,23,132.5,151,187.5
E1W7J3,68.5,66,50,6,5,2.5,11,17,7.5,6.5,13.5,13,14.5,25,22.5,74.5,101.5,111
E1W7J4,42,50.5,34,8.5,13,7.5,17.5,21.5,10.5,8,16.5,15.5,36.5,34.5,49,76,83,106.5
E1W7J5,3,5,6,0,0,0.5,2,1.5,0,0.5,2.5,3,5.5,5,10.5,29,26,48.5
E1W7J6,16,11,20,5,4,4.5,4,12.5,6,4.5,14.5,10.5,16.5,29.5,20,40,45,64
E1W7J7,11.5,13.5,19,3,4,0,5,8,2.5,10.5,15,10.5,13,30.5,16.5,44.5,55.5,55
E1W7J8,13,18,18,1.5,1,1.5,3.5,11.5,0.5,4.5,10.5,9.5,15.5,21,18,37.5,45,60
E1W7J9,23.5,25.5,24,2.5,3.5,0,3.5,9.5,6.5,6.5,17.5,8,13.5,20.5,19,69.5,93.5,106.5
E1W7K0,45.5,53.5,50.5,1,0.5,1,0.5,2,1,4,4.5,0.5,6,6,4,18,23,21.5
E1W7K1,34.5,39.5,42.5,0.5,0,0.5,0,1,0.5,1.5,2,0.5,2,2,4,12.5,8,12
E1W7K2,36,43,31,0,0,0,0,1,0,2,0,0,0.5,1.5,2,7.5,6.5,17
E1W7K3,35.5,34.5,32,0,0,0,0,0,0,0,0,0,0.5,2,4.5,4.5,7,8
E1W7K4,19,15.5,13,0,1,0,0,1.5,0.5,0.5,0.5,0,0.5,0.5,0,6,6,6
E1W7K5,38,50.5,50.5,1,1,0,1,3,0,0.5,0,0,1,2,2,8.5,10,9.5
E1W7K6,68.5,103.5,96,0,0.5,1,2,2,0.5,0,0.5,1.5,4,3,6,13.5,25.5,17.5
E1W7K7,32.5,39.5,33,0,0,0,1.5,1.5,0,0,0.5,0,1.5,1.5,3,12,8.5,8.5
E1W7K8,46.5,73.5,63,0,2.5,0,1,0.5,0.5,0.5,1.5,0.5,3.5,2,2.5,16.5,14,20.5
E1W7K9,27.5,30.5,37.5,0,0,0,1,1.5,1,0,0.5,0,0.5,1.5,3,13,9,15
E1W7L0,52,75.5,71.5,0,2.5,1,2,4,1.5,1.5,4.5,0,4.5,4.5,4,24.5,24.5,22.5
E1W7L1,23,32,37.5,0.5,1,0,0,1,0.5,1,0,0,1.5,4.5,1.5,15.5,19.5,22.5
E1W7L2,148,180.5,184,1,2.5,2,4.5,6.5,1.5,4,2,5,9,8,7.5,58,53,68
E1W7L3,85.5,121,108.5,0,1.5,0,3.5,0.5,0,1,2.5,2,4.5,7.5,6.5,39,32.5,53
E1W7L4,183.5,185.5,284.5,12,21.5,15,29,52.5,19.5,34.5,82,29.5,96.5,116.5,104.5,399,413.5,450
E1W7L5,19.5,27,13,1.5,1.5,0,3,6.5,2,1.5,2,1,4.5,8.5,6.5,35.5,46,61.5
E1W7L6,7,9,4,0,0,0,2.5,4.5,1,4,1.5,3.5,6.5,7.5,4,26.5,27,30
E1W7L7,2,5.5,0.5,0.5,1.5,0,2.5,0.5,0,0.5,0.5,0.5,3,3.5,1.5,15.5,16,27.5
E1W7L8,5,4.5,4.5,0,4.5,0,3.5,8,1.5,2,0.5,4.5,4.5,9,5.5,30.5,36.5,40
E1W7L9,388,463,262.5,42,45,6.5,78,135.5,21,40.5,91,51.5,243.5,280,273.5,1368.5,1533,1628
E1W7M0,314.5,386.5,248.5,35,43,11,54.5,75.5,22.5,21.5,51.5,45.5,98.5,136,140.5,516.5,592.5,850
E1W7M1,132.5,185,132.5,21,18.5,5,23,55.5,15.5,29.5,39.5,28.5,114,150,138,671,809,929
E1W7M2,99.5,135.5,124.5,5.5,13.5,11.5,12,31,12,17,48.5,24,103.5,119.5,98,552.5,648,616
E1W7M3,118,165.5,159,14.5,22,14,41.5,74,30,50.5,78,66,143,183.5,153,498.5,547,679
E1W7M4,435.5,528,478,17,27.5,15,40,78.5,27.5,101,150.5,138.5,214,270.5,164,535.5,568,762.5
E1W7M5,105.5,126,126,4.5,13.5,7.5,16,25.5,9,11.5,34,24,100.5,98,76.5,356,385,499
E1W7M6,29,30,32,18,25.5,15.5,40,52.5,25.5,56.5,112,63,128.5,139.5,120.5,158,180.5,214.5
E1W7M7,49,60,73.5,23.5,36.5,6,59.5,107,40.5,73.5,159.5,90,184,240.5,188.5,238.5,274,345
E1W7M8,11,20,14.5,8.5,3.5,1,14,10.5,4,6,21.5,13.5,20.5,35.5,33,74.5,99.5,97
E1W7M9,11,20,11.5,7,9,3,12,22.5,9,14,35.5,24,47,46.5,52,120,136,143.5
E1W7N0,213.5,253,285.5,20,23.5,4,36,58,23,37,94.5,35,103,135,81.5,231.5,261.5,310
E1W7N1,28.5,48.5,24,3,1,0.5,3,4.5,2,2.5,3.5,2,10.5,10,10,46,50.5,76
E1W7N2,9,8.5,5.5,0.5,0.5,0,0.5,0.5,0,1,2,3,6,4.5,3,24.5,26,44
E1W7N3,2,4.5,2,1,1,0,0,1,0.5,0.5,0.5,0.5,3.5,1.5,5,23,19,20.5
E1W7N4,3,3,1.5,0.5,0,1,0,1,0,3,1.5,2.5,1.5,2.5,3.5,15,11.5,15
E1W7N5,78,115.5,147.5,18,28,7.5,46,59,11,18.5,38,15.5,95,108,90,288.5,298.5,403.5
E1W7N6,18,13.5,29,2.5,2,1,8,11,2,1.5,6,3.5,16.5,19,16,64,69.5,104.5
E1W7N7,3,5,1.5,0,0,0,1,1,0.5,0,1,1,1,3.5,4.5,15,15,18
E1W7N8,1,0.5,0.5,0,0,0,0,0,0,0,0,0,1.5,0,1,5,5,5.5
E1W7N9,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,14,17,10
E1W7P0,0.5,0,0,0,0,0,0,0,0,0,1,0.5,0,1.5,0,6,13.5,10
E1W7P1,13,6,5.5,0.5,1,0,0.5,4.5,2,2.5,3,3.5,19.5,24.5,41,284,346.5,389.5
E1W7P2,11,13,10.5,0,0.5,1,0.5,1.5,0,0.5,3.5,1,13,11,15.5,109,105.5,155
E1W7P3,0.5,0.5,0,0,1,0,0,0,0.5,0,0,0,1,1.5,0.5,16,12,15
E1W7P4,1,1,1.5,0,0,0,0,0,0,0,1,0,1.5,1.5,3,18,15,20
E1W7P5,0.5,3.5,3.5,1,2,0,1.5,7.5,3.5,2.5,6.5,4,4,7.5,4,11.5,11.5,13
E1W7P6,2,6.5,3,0,2,0,1,2.5,2.5,2.5,3,3,5.5,7,5.5,34.5,33.5,47
E1W7P7,10.5,8,8.5,2,1,0,0.5,3,0.5,10.5,14.5,1.5,18.5,25.5,17.5,66,102,147
E1W7P8,0.5,0.5,1.5,0,1,1.5,3.5,2.5,2.5,4.5,6,3,4.5,7,3,20,23.5,32.5
E1W7P9,0,2,1.5,0,0,0,1,0,0.5,0.5,1,0,1,0,0.5,7,2.5,14
E1W7Q0,5,4,1.5,0,0,0,1.5,0,0.5,1.5,0.5,0,1,2.5,2,13,15,15
E1W7Q1,2.5,5,1,0,1,1,1,1,1,2,6,1,6,5,4,24,21,25.5
E1W7Q2,7.5,1.5,2,0.5,0,0,1,3.5,1,0,1.5,0,2.5,4,1,12.5,12.5,22.5
E1W7Q3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,3,5.5,6
E1W7Q4,0.5,0.5,8,0,0,0,0,0.5,0.5,0,0.5,0,0.5,1.5,0.5,7.5,13.5,12.5
E1W7Q5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5.5,1.5,1.5
E1W7Q6,3.5,4.5,2.5,2,2,0,1.5,1.5,0.5,0.5,0,1,3,5,7.5,46,41,51.5
E1W7Q7,6.5,14,2.5,1,0,3.5,0.5,1.5,0.5,0.5,1.5,3.5,8.5,7,12,74.5,66.5,75.5
E1W7Q8,2,0.5,0,0,0,0,0.5,1,0,0,1,0,1.5,0,2,7.5,14.5,14.5
E1W7Q9,5.5,14,2,1.5,0,0,3.5,0.5,0,0,4,4,6.5,7,11.5,60.5,69.5,85.5
E1W7R0,7,8,7,2.5,0,0,0,4.5,0,2,0.5,3,5.5,6,8,39,38.5,49.5
E1W7R1,1.5,2.5,3,0,0,0,0,0,0,0,0,0,4,2,5,27.5,28.5,39
E1W7R2,11,9,6.5,1,2,0.5,0,4.5,1.5,3.5,0,1,9.5,13.5,13.5,75,83.5,95
E1W7R3,87.5,119.5,138.5,8.5,10.5,1,17.5,34,9.5,8.5,24.5,27,75.5,85,112,532.5,617,977
E1W7R4,48.5,47.5,71.5,1.5,4,1,5,6,2,3,11,6.5,49.5,45.5,67.5,323,416.5,541
E1W7R5,4,1.5,7.5,1,0,0,1.5,0.5,0.5,1,4,1,4,9,11.5,68,74,107.5
E1W7R6,4,4.5,1.5,0,0,0,1,0.5,0.5,0,2.5,0.5,1,3,4,33.5,32.5,40
E1W7R7,1495,2309,763.5,103.5,135,30,154.5,247.5,43.5,47,76,90.5,230,298.5,233,1393,1638.5,1607.5
E1W7R8,155,237,35,11.5,17,2,18.5,38.5,0.5,0.5,3,4,7,13,22,42.5,47.5,97.5
E1W7R9,56,70,52,8.5,7.5,2.5,11,24.5,5.5,10.5,18.5,13.5,41.5,39.5,41,203.5,215,251.5
E1W7S0,198.5,238,254,25.5,30,14.5,56.5,87,27,61,128,69.5,168.5,208,174,741,767.5,837
E1W7S1,37,55.5,51,10,6,2,18.5,29.5,5,13,32.5,12,48.5,53.5,42,143,176,207
E1W7S2,6.5,19,11.5,1,0.5,0,1,2.5,3.5,2,7.5,4,8.5,19.5,13.5,34,44.5,72.5
E1W7S3,37,49.5,48.5,9,6,9.5,8,22.5,4.5,14.5,19.5,8,26.5,42,36,135.5,167.5,180.5
E1W7S4,13.5,17.5,12,1.5,3,0,1,3,0.5,0.5,4.5,2.5,4,11,10,63.5,61,85.5
E1W7S5,7.5,12,11.5,1,0.5,0,1,3,1.5,4.5,6.5,2,9.5,11.5,12.5,56,57.5,98
E1W7S6,3.5,9,6,1,0,0,1.5,5,2,1.5,5,4.5,6,10.5,5,29,31.5,34
E1W7S7,17,23.5,9,2.5,2.5,1,4.5,3.5,2.5,5.5,9.5,6,14,14.5,12,58.5,64,58.5
E1W7S8,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0.75,0.5,1.25,6.75,4.25,9
E1W7S9,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,1,0,1.5,0,3
E1W7T0,0,0,0.5,0,0,0,0,1.5,0,0,0,0,0,0.5,0.5,1,1,4.5
E1W7T1,1.5,1.5,1,0,0,0,1.5,1.5,1.5,0,2,0,2.5,2,1,8.5,11,20.5
E1W7T2,0,1.5,0.5,0,0,0,1.5,0,0,0,1,0,1,2,2.5,12.5,18.5,23.5
E1W7T3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,4.5,4.5
E1W7T4,0,0,0.5,0,0,0,0,0,0,1,0,0,0,2.5,0.5,10.5,10,14.5
E1W7T5,0,0.5,1.5,0,0,0,1,1,0,0,1,0.5,1.5,2,3.5,20,19,30.5
E1W7T6,0,1.5,0,0.5,0,0,0.5,0,0,1,0,0,0.5,1.5,1,8.5,11.5,14
E1W7T7,1,4,1,0,0,0,0,0,0,0,1,0,1.5,2.5,3,12,17,18.5
E1W7T8,19.5,17.5,26.5,9,11,3.5,15.5,19,5.5,10,29.5,13,21,33,22.5,28,42,45.5
E1W7U0,48.5,51,77,3.5,7,2.5,3.5,14.5,5.5,8.5,19.5,6,15.5,22.5,11.5,30.5,41,50
E1W7U1,42.5,44.5,77,13.5,20,15.5,31.5,65,15,38.5,61.5,10.5,48.5,53.5,33,83.5,74.5,131.5
E1W7U2,3.5,3,1.5,0,0,0,2,1,0.5,0.5,2.5,1.5,4,2,4.5,16,19,28
E1W7U3,1.5,0,2.5,0,0,0,0.5,0,0,0.5,0,0,3.5,0,1.5,12,14.5,20
E1W7U4,0,0.5,1,2.5,1.5,0,0,0,0.5,0,0,0,0,1,0,7,15,13
E1W7U5,2,4.5,3,1,0.5,0,0,0.5,0,1,2.5,0,2,2.5,3.5,23.5,24,37.5
E1W7U7,3.5,3.5,2,1.5,1,0,2,2.5,0,0.5,1.5,1.5,6.5,6,6.5,45,56.5,55.5
E1W7U8,1.5,1.5,1.5,0,0,0,0,1,0,1,0,1.5,0,1,1.5,8,16.5,10
E1W7U9,80.5,77,84,5,7.5,3,13.5,20.5,22,58,180.5,43,240,292,198,650.5,851,918
E1W7V0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0.5,1,1,8.5,7.5,10.5
E1W7V1,0.5,1.5,0,0,0,0,0,2,1,0.5,0.5,0,2,3.5,3,13.5,14,15
E1W7V2,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0.5,0.5,4.5,3,6.5
E1W7V3,6.5,9.5,1,0,0.5,0.5,1.5,4.5,0,1.5,3.5,3,5.5,8.5,7,55,76.5,79.5
E1W7V4,15,10.5,7,1.5,1,1,2.5,1,1,0.5,3,4,2,3,3.5,13.5,17.5,19.5
E1W7V5,4.5,5.5,3.5,19.5,22.5,21,39,54.5,27,29.5,61,41.5,62.5,88.5,56.5,56,68,67.5
E1W7V6,9,13,8,16.5,19.5,8,65,86.5,23,78,172.5,132.5,209.5,271,243.5,312,382.5,360
E1W7V7,8,5,2.5,2.5,4,0,5.5,16.5,2,4.5,12,3.5,10.5,13,28.5,137.5,176,157
E1W7V8,2.5,3,3.5,0,1.5,0,1,0.5,1,2,1.5,2.5,1,2.5,2.5,6,8.5,11.5
E1W7V9,7.5,4.5,12.5,0.5,1.5,0,2.5,1.5,1,3,5.5,2,5,9.5,10,23.5,33,38
E1W7W0,31.5,41,21,1.5,2,0.5,10,12,10.5,8,14,12,31,45,55.5,308,378,372.5
E1W7W1,19,30.5,40,2.5,5.5,2.5,7,10.5,3,12.5,25,16.5,36,41,27.5,82.5,106.5,133
E1W7W2,17,22,17.5,4,2.5,1,4.5,8,4,2,19.5,4,25,32,19,44.5,52.5,74.5
E1W7W3,33,51.5,51.5,6.5,8.5,3.5,7.5,24,4.5,16,46.5,17.5,51.5,65,41,112.5,129,138.5
E1W7W4,66.5,71,54,4.5,7.5,4,11,30.5,8.5,16.5,34,27,48,63.5,46.5,111,123,177
E1W7W5,94,111.5,117.5,17,18.5,10,32.5,52.5,21,41.5,93.5,54,117,142.5,103,253,305,350
E1W7W6,159,234.5,187.5,28,35,16.5,43,96,33.5,66.5,157.5,90.5,143,193,122,405,459,534.5
E1W7W7,12,12.5,20,1,4,1,1,4,2,3.5,9.5,6.5,14.5,12.5,12.5,56,59,74.5
E1W7W8,41.5,41.5,22.5,5.5,5.5,0.5,2,8.5,1.5,15.5,39,4,25,38.5,17,106,144.5,84.5
E1W7W9,34.5,36.5,51.5,2,2.5,4,5,8,2.5,4.5,7,7,32,36,50,317.5,343,401
E1W7X0,21,31,28.5,0.5,2.5,1,3,8,2.5,4,7.5,6,27.5,29.5,60,344,388.5,555.5
E1W7X1,3,6.5,4.5,0,0,0,0.5,1.5,0,0.5,0.5,0.5,2,3.5,4,25,24,34
E1W7X2,0.5,0,0,0,0,0,1,0.5,0,0,0,0,1.5,2,3.5,29,31.5,35
E1W7X3,2,0.5,2,0,1.5,0,0.5,0,0,0.5,2,0,4,2,3.5,16,20,26
E1W7X4,0.5,2,3,0,0,1.5,0,0,0,1,2,2,2,6.5,5.5,31.5,34.5,45
E1W7X5,3.5,2,1.5,0,0.5,0,2,3,1,1.5,6,0.5,6,4.5,7,56,60.5,69.5
E1W7X6,2,2,2,0.5,0.5,0.5,2,5,2.5,2,8.5,2,7.5,14,11.5,64.5,58,65.5
E1W7X7,8.5,11.5,11,2,0.5,1,2.5,3,3.5,3.5,5,7,16,19.5,23,99,119,164.5
E1W7X8,3,5.5,6,0,0,0,1,0,0.5,2,1.5,2,4,7.5,6,37.5,41.5,52
E1W7X9,7.5,11.5,8.5,0,1.5,0,1.5,1,0,0,0.5,1.5,7,7,13,72.5,79.5,103.5
E1W7Y0,4,5.5,5.5,0,1,0,2,1.5,0,0.5,1,1,2.5,4.5,8.5,53,72,80
E1W7Y1,9.5,11.5,11.5,0,1.5,0,0.5,2,0,1,1.5,2,9,7,9,60,77.5,87
E1W7Y2,8.5,11,12,0,2,1.5,1,3,1,4.5,6,5.5,9,10,6,17,22,27.5
E1W7Y3,18.5,17,27.5,1.5,4,3,3.5,8.5,2.5,9.5,13.5,6,24,19.5,15,35,41,46
E1W7Y4,19,20,17.5,5.5,4,0.5,5,15,4,9.5,20.5,9,24,39.5,16.5,41,48,45.5
E1W7Y5,28.5,29.5,40.5,3,3,1,9.5,19.5,5.5,9,18.5,10,31.5,35.5,27,83.5,85,112.5
E1W7Y6,228.5,322.5,270.5,22.5,21.5,15,28,54.5,51,125,160,70,227,284.5,236,384,450,396
E1W7Y7,0,2,2,1,1,0,3.5,1.5,0,1,2.5,1,2.5,3.5,3.5,20.5,30,36
E1W7Y8,17.5,26.5,20.5,1.5,2.5,0,5.5,15,6,11,14,5,20.5,26.5,14,67.5,58.5,81
E1W7Y9,7,19,11.5,1.5,1.5,2.5,3.5,3.5,2.5,5.5,6,11,17,12.5,12,55,61.5,73.5
E1W7Z0,35,45,48,5.5,6,1,8.5,15.5,5.5,7.5,16.5,15.5,26,38.5,20,100,92.5,120.5
E1W7Z1,79,107,97.5,11,13.5,11,26.5,39.5,12.5,27.5,48.5,47.5,110.5,120.5,105,408,463,415.5
E1W7Z2,94.5,114,98,15.5,28.5,13.5,27,46.5,26.5,21,73.5,60.5,123.5,147,176,451,515.5,575
E1W7Z3,69,88,77,15,20.5,8.5,21.5,30,28,16,52,58.5,133,134.5,164,426.5,411,457
E1W7Z4,840.5,1027.5,579.5,79,114,15.5,94.5,163.5,80.5,55.5,210,196,428.5,548.5,472,1108.5,1197,1003
E1W7Z5,58,76,97,6.5,10.5,5,18.5,28,14.5,14.5,36,20.5,74.5,77,56,100.5,114.5,128
E1W7Z6,45.5,48,50.5,2.5,7,4,11.5,17,7,9,28.5,12,43.5,50.5,29,68.5,85.5,86.5
E1W7Z7,61,75.5,94.5,10.5,16.5,3.5,18,46,12,25,42.5,27.5,57,75.5,62.5,112.5,112,129.5
E1W7Z8,95,117.5,102,13.5,21.5,8.5,26,48.5,15.5,28,54.5,45.5,59,70,71,131,150.5,157
E1W7Z9,44,50,59.5,3,9,6,8.5,17.5,9.5,9,17,21.5,36.5,35.5,36,67,87.5,97
E1W800,47,61,60.5,1.5,7.5,5,12,18,9,12.5,21.5,21.5,31,41,56,125.5,118,163
E1W801,63.5,79.5,92,7,19,5,16.5,21,12.5,13,28,25.5,69.5,80,75.5,163,208,228.5
E1W802,82,133,145.5,6.5,18.5,11.5,17.5,37,13,11,31,26.5,54.5,64,83,206.5,233,276.5
E1W803,63,72,78.5,9,8.5,10.5,12.5,15,4.5,10.5,28,17,51,60.5,52,200,213.5,225.5
E1W804,196,262,204,22,21.5,7.5,23,37,16.5,28,55,58,107,126.5,122,447,444.5,500.5
E1W805,152.5,166,230.5,22,32,19,42,83,27,36.5,90.5,58,137,172,156,471.5,511,637
E1W806,464.5,685,456,48.5,72,22.5,87,174,37,93.5,182,124.5,451,572,546.5,3137.5,3605,3640.5
E1W807,21.5,27,19,1.5,1.5,0,3.5,4,1,2.5,4.5,5.5,8.5,13,9,54.5,56,62.5
E1W808,220.5,232.5,256,9,23,4.5,27,38.5,7.5,30,57,37,80,90.5,65.5,271.5,311.5,339.5
E1W809,4.5,5,6,0,0.5,0,0,0.5,0.5,0.5,1.5,1.5,1.5,2,3,6.5,12,10
E1W810,8,11.5,8,2.5,1,0,1.5,1.5,0.5,3.5,2.5,1.5,6.5,2.5,4,8.5,12.5,17
E1W811,16,27,23,2.5,1.5,0.5,0,3.5,3,3.5,4,3.5,7,9.5,11.5,47.5,59,50
E1W812,19,21.5,14,2,1,0,2,11,0,4.5,6.5,2.5,13,8.5,10.5,41,43,55.5
E1W813,72.5,90,54,4,4,1,11,27.5,5.5,6.5,16.5,10,47,59.5,52,319.5,341,388.5
E1W814,4.5,1.5,6.5,0.5,0,0,0.5,2,0,0,1,0,3,5,8.5,29.5,35.5,57
E1W815,1,1.5,2,1.5,0,0,0,1.5,0,0,3,1,3.5,3,3.5,30.5,30,54.5
E1W816,1,1.5,0,0,0.5,0,1,0.5,0,1,2.5,0,1.5,3,0.5,8,13.5,15
E1W817,11,12.5,17.5,0,0.5,0,2,3,1,2,5.5,2.5,6,6.5,5.5,37,46,53
E1W818,16.5,17.5,29.5,1,6.5,2,4.5,1.5,1.5,5,9,3.5,9.5,9.5,15,49,49,68
E1W819,36,42,51,4.5,7,3,6,10.5,8,19.5,51.5,5.5,57.5,80,45,241.5,240.5,484
E1W820,10,7.5,10,0,0,0,0,5.5,0.5,2,1,3,4,8,5,26,22.5,47
E1W821,3.5,3,8,0.5,0.5,0,0,0.5,0,0.5,2,2,2.5,3,1,18.5,26.5,38.5
E1W822,27.5,37.5,33,2,3.5,0,4.5,8.5,3,4.5,7,4.5,17,11,14.5,63.5,63.5,92.5
E1W823,434,515.5,307,7.5,15.5,4,11.5,30,11.5,3,18.5,22,65.5,92.5,119.5,639,745.5,1001
E1W824,1244.5,1525,2163.5,42.5,47.5,18.5,81.5,108,37,100,168.5,60.5,252.5,282.5,226.5,1055.5,1136,1361.5
E1W825,683,859.5,991.5,29,36,11.5,38.5,92,29,53.5,98.5,47,131.5,174.5,93.5,367,406.5,402.5
E1W826,498.5,654.5,913,24.5,40.5,22.5,53.5,98,25.5,61,115.5,65,153,208,147,633,699.5,828.5
E1W827,3.5,7.5,5,0,0,0,1,0,0.5,0,1.5,0,1.5,2,0.5,0.5,5,6.5
E1W828,0,3,2,0,0,0,1.5,0,0,0,0,0,0.5,2.5,2.5,9.5,9.5,16.5
E1W830,208.5,300,381,17.5,35.5,25.5,35.5,57.5,27.5,50,83,69.5,140.5,157.5,135,336.5,363.5,501
E1W831,51,55,57,2,3,0,7.5,9,2,5,14.5,8,14.5,20,26,43.5,57,54
E1W832,44.5,55,40.5,4,6.5,1.5,4,5,1.5,7,11,10.5,18,21,32.5,87,93,94.5
E1W833,1.5,0.5,2.5,0,0,0,0,0,0.5,0,0.5,0,0.5,3.5,5,15.5,12,21.5
E1W834,6,8.5,3,0,0,1,0,1,0,0.5,1.5,1.5,5.5,4,3,23,33.5,31
E1W835,42,58,25,3.5,3,2.5,6.5,16,3,2.5,7,5.5,12,18,15,82.5,76.5,77.5
E1W836,75.5,97,51,7.5,7.5,3,12.5,24,7,5.5,16,10.5,26,26,26.5,137,144.5,144
E1W837,16,28.5,17.5,1,6.5,2.5,4.5,10.5,2,5.5,13.5,6.5,21,25.5,27,111.5,114,151
E1W838,37,50.5,44.5,5,11,4,6.5,17.5,3,8,19,8.5,35,46.5,33,178.5,215,248
E1W839,44.5,46,26.5,4,7.5,2,4.5,8.5,4,3,12,12,11,20,19.5,67,80,92
E1W840,26,31,46,5.5,10,1,6,12,12.5,7,21,11.5,11,23,16.5,72,63.5,94.5
E1W841,31.5,43,64,4,3.5,4.5,13,15.5,4,13,31.5,17.5,40.5,44.5,46.5,105.5,106,138
E1W842,80,94.5,91,10.5,4.5,0.5,12.5,8.5,5,10.5,13,10,32,28.5,24,106,120,125.5
E1W843,131,143.5,121.5,7.5,10,2.5,12.5,19.5,8.5,11,14.5,22.5,51,75.5,52,149.5,169,209.5
E1W844,14,13,20,1.5,0.5,4,2,6,0,2.5,5.5,7,9.5,20,17.5,71.5,83,76.5
E1W845,13,14.5,21.5,2,0,0,2,3,1.5,2.5,5.5,4.5,10,8.5,16.5,52,57,74
E1W846,5.5,9,5.5,0.5,0,0,1.5,2,1,2,2,0.5,3,6.5,9.5,37,45,60
E1W847,1,4,2.5,0,1,0,0.5,3,0.5,0.5,1.5,0.5,2,7,6,45.5,43.5,39
E1W848,1,0,0.5,0,0.5,0,0.5,3,0.5,1,1.5,1,2.5,0.5,3,13,14.5,17
E1W849,2.5,4,0.5,0,0,0,0.5,2,1,0,2,1,0,3,2.5,15,19,18.5
E1W850,1.5,1.5,0,0.5,0,0,0,0,0.5,2.5,1.5,0,3.5,0,2,22,23.5,27.5
E1W851,13.5,17.5,17,0.5,4.5,0.5,3,6,2,5.5,6.5,4.5,14.5,18,22,82,101.5,129.5
E1W852,14.5,18.5,20,1.5,5,2.5,2,6.5,3.5,7,2.5,6,9,19,11.5,37,43,60
E1W853,6,14.5,11.5,4,0.5,0,3,4,2.5,2.5,4.5,1,9,9.5,7.5,55,56,53
E1W854,3.5,34,5,0,0,0,0.5,1,0.5,0.5,0.5,1.5,4.5,3,3,20,16.5,38.5
E1W855,5.5,11.5,7,1,1.5,0,0.5,1.5,1,3.5,2,1,4.5,5,5,18.5,15.5,29
E1W856,83,113.5,80.5,3,7,0.5,8,8,4,8,18.5,7.5,35,43,35.5,177.5,220.5,254
E1W857,15,19.5,11.5,3.5,2.5,1,3,4,2,4,4.5,5,15,17,18,73,70.5,105.5
E1W858,100,128.5,95,10,14.5,9,21,40,16.5,14.5,27.5,28.5,68,67,57.5,239.5,275.5,331.5
E1W859,21,17.5,17.5,3,3.5,1.5,4.5,9,4,5.5,10,8,18,26.5,12.5,63,60,69
E1W860,13,14,9.5,0.5,2,0,1.5,4.5,1,2,3,3,4,10,8,25.5,41.5,50
E1W861,22,26.5,33.5,3,5.5,0.5,4.5,5,4.5,4,7,4.5,28.5,35,39,177.5,181,254.5
E1W862,65.5,81.5,87,7.5,15,3,18,31.5,12,26.5,39,28,100,104,93.5,671.5,696.5,844
E1W863,171.5,203,297.5,10,16.5,6.5,21,45.5,16,13,23.5,21,64,79.5,82.5,307.5,419.5,495.5
E1W864,25,32.5,51.5,0.5,6.5,0,3.5,2.5,4,2,2,2.5,9.5,18,7.5,30,17.5,35.5
E1W865,33,34,38.5,4,6.5,1,6,12.5,8.5,3,10,7,13,15.5,21,51.5,43.5,60
E1W866,42.5,48.5,47,5,5,1,5.5,8.5,5.5,4.5,9,5,18.5,30.5,19.5,81.5,88.5,115.5
E1W867,0,1.5,2,1,0,0,0,1.5,0.5,0.5,0,0.5,2,1.5,0.5,14.5,8.5,17
E1W868,3,5.5,9.5,1,1,0,0,3,5.5,3.5,6,3,7,18,17,80.5,91.5,100.5
E1W869,1,0,0,0,0,0.5,1,1.5,0.5,2,4.5,7,5,6,7.5,11,15,16.5
